id,lang
815695,fr
815683,fr
815682,fr
815681,fr
815680,fr
815668,fr
815665,fr
815662,fr
815656,fr
815645,fr
815635,en
815602,fr
815591,fr
815572,fr
815561,fr
815560,fr
815547,fr
815542,fr
815509,fr
815480,fr
815474,fr
815409,fr
815383,fr
815361,fr
815359,fr
815358,fr
815356,fr
815353,fr
815349,fr
815347,fr
815345,fr
815332,fr
815325,fr
815310,fr
815309,fr
815306,fr
815302,fr
815301,fr
815300,fr
815299,fr
815298,fr
815262,fr
815237,fr
815236,fr
815234,fr
815230,fr
815221,fr
815220,fr
815211,fr
815203,fr
815186,fr
815151,fr
815148,en
815099,fr
815097,fr
815096,fr
815076,fr
815067,fr
815039,fr
815035,it
815031,fr
815030,fr
815028,fr
815014,fr
815013,fr
815012,fr
815011,fr
814976,fr
814975,fr
814970,fr
814948,fr
814947,fr
814936,fr
814935,fr
814934,fr
814933,fr
814919,fr
814888,fr
814887,fr
814872,it
814867,fr
814866,fr
814863,fr
814846,fr
814845,en
814844,fr
814840,fr
814838,fr
814837,fr
814836,fr
814832,fr
814831,fr
814823,fr
814815,fr
814813,fr
814812,fr
814803,fr
814801,fr
814800,fr
814799,fr
