id,lang
815667,fr
815666,fr
815527,fr
815346,fr
815307,fr
815235,fr
815219,en
815219,fr
815095,es
815095,fr
815027,fr
814972,fr
814971,fr
814891,es
814891,fr
814771,fr
814770,fr
814750,fr
814748,fr
814691,fr
814687,fr
814654,fr
814621,fr
814600,fr
814585,fr
814569,fr
814568,fr
814553,it
814485,fr
814468,en
814463,fr
814354,fr
814256,fr
814198,fr
814136,fr
814100,fr
814031,fr
814004,fr
813949,fr
813922,it
813892,fr
813889,fr
813840,en
813813,fr
813801,it
813740,it
813722,fr
813721,fr
813718,fr
813707,en
813682,en
813681,it
813634,fr
813556,fr
813554,fr
813499,fr
813494,fr
813378,fr
813326,fr
813312,fr
813311,fr
813310,fr
813309,fr
813021,en
812962,fr
812881,fr
812877,it
812750,fr
812698,fr
812567,fr
812445,fr
812433,fr
812389,fr
812298,fr
812283,fr
812189,fr
812185,fr
812167,fr
812158,fr
812151,fr
812123,fr
812042,fr
811959,fr
811926,fr
811869,fr
811696,fr
811688,fr
811662,fr
811658,fr
811657,fr
811655,fr
811561,fr
811554,fr
811540,fr
811503,fr
811480,fr
811394,fr
811269,fr
811205,fr
811097,fr
